epa,"['epa', '0.49654', '0.62399', '-0.5732', '-0.10831', '-0.10373', '-0.64222', '-0.50983', '0.28447', '0.5072', '-0.0018322', '-0.23274', '-1.1512', '-1.2701', '-0.43288', '1.2748', '-1.0382', '0.028942', '0.44687', '0.58595', '0.19103', '0.76126', '-0.27972', '0.13024', '0.14671', '-0.3693\n']"
issue,"['issue', '0.3767', '0.036902', '-0.79194', '-0.57057', '0.81508', '-1.1586', '1.0273', '-0.5722', '0.71527', '0.18877', '0.19066', '0.76303', '-3.3568', '1.0388', '0.32555', '0.38413', '0.295', '0.32963', '-0.0042901', '-0.33228', '-0.36448', '-0.42907', '-0.26176', '-0.28143', '-1.1288\n']"
sweeping,"['sweeping', '-0.64014', '0.77048', '-0.40302', '0.12061', '-0.12048', '-0.029801', '-0.43933', '-1.4324', '1.1528', '0.53432', '0.53452', '0.29879', '-1.2295', '0.63779', '0.27365', '0.47862', '-0.03754', '-0.45964', '-0.1482', '-0.84379', '-0.57039', '0.4061', '0.3839', '-1.5189', '-1.0207\n']"
suspension,"['suspension', '0.041721', '0.13049', '-0.3173', '-0.42272', '0.25979', '-0.5581', '-0.33281', '-1.0289', '1.0034', '-0.27405', '0.59429', '-0.024255', '-1.9912', '1.3026', '1.6231', '0.24818', '0.34603', '0.56772', '-0.045297', '-0.21464', '-0.78759', '0.25938', '1.0876', '-0.16675', '-1.0017\n']"
enforcement,"['enforcement', '0.20952', '1.2907', '-1.1592', '-0.25103', '0.79713', '-1.1551', '0.005369', '-1.3137', '1.2588', '0.51875', '0.485', '0.17652', '-2.1008', '0.97995', '1.2169', '0.14229', '-0.11031', '0.26118', '0.77527', '-0.54022', '0.57368', '-0.27971', '-0.21032', '-1.7417', '-0.79508\n']"
environmental,"['environmental', '0.18448', '0.60791', '-1.8728', '-0.046669', '1.089', '-0.64303', '0.7363', '-1.5018', '1.8349', '0.097169', '0.07528', '-0.17648', '-2.3739', '0.76366', '1.3346', '-0.51977', '-0.23158', '1.0252', '0.81171', '0.2525', '-0.48284', '-0.069646', '-0.98751', '-0.81865', '-0.39436\n']"
law,"['law', '0.45172', '0.70815', '-0.76791', '-0.28859', '0.32705', '-1.1796', '0.24026', '-0.39279', '1.4483', '0.62776', '-0.33727', '0.19194', '-3.7848', '0.84125', '1.0309', '-0.39745', '0.29014', '0.49724', '0.083555', '-0.36794', '0.47478', '0.42281', '-0.73168', '-0.4265', '-0.75567\n']"
epa,"['epa', '0.49654', '0.62399', '-0.5732', '-0.10831', '-0.10373', '-0.64222', '-0.50983', '0.28447', '0.5072', '-0.0018322', '-0.23274', '-1.1512', '-1.2701', '-0.43288', '1.2748', '-1.0382', '0.028942', '0.44687', '0.58595', '0.19103', '0.76126', '-0.27972', '0.13024', '0.14671', '-0.3693\n']"
statement,"['statement', '0.50818', '-0.33809', '-0.89015', '-0.35653', '0.56538', '-0.68876', '0.72319', '-0.2606', '0.53209', '0.0056142', '0.21185', '1.4971', '-2.8156', '0.76826', '0.78744', '0.21995', '0.60665', '0.16457', '-0.6301', '-0.13272', '0.21016', '0.0080562', '-0.61224', '-0.51204', '-1.7895\n']"
nationwide,"['nationwide', '-0.13703', '0.87291', '-0.31198', '-1.1866', '0.028478', '-0.99489', '0.32313', '-1.3207', '0.75482', '-0.10763', '0.28478', '-0.55116', '-1.7614', '0.89975', '0.78283', '-0.15616', '0.1031', '-0.46679', '0.45765', '-0.79287', '-1.3651', '-0.98467', '0.04286', '-1.1034', '-0.33019\n']"
