status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang;;;;
1243689259619540999,40761217,2020-03-28T00:00:00Z,MoxyPBass,#China has some serious questions to answer when the dust settles @LeslynLewis @JustinTrudeau  #COVID19 #coronavirus #ChinaLiesPeopleDie #PPEshortage #ChinaVirus #cdnpoli #onpoli https://t.co/a1YWWm34zm,Twitter Web App,,,,TRUE,FALSE,14064,0,,,,526,836,,2009-05-17T23:29:09Z,FALSE,en;;;;
"1243689259606958084,864320268642115584,2020-03-28T00:00:00Z,VioletaradioFM,""Frente al #COVID19 y la desigualdad que viven las mujeres ¿Son suficientes las campañas que anunció @inmujeres y @CNEGySR? ";;;;
;;;;
📻Escucha el debate de economistas feministas y académicas 👉 https://t.co/BtzCicYPqH;;;;
;;;;
"#AnálisisFeminista #CuarentenayGénero"",TweetDeck,,,,FALSE,FALSE,499,0,,,,986,182,,2017-05-16T03:23:05Z,FALSE,es";;;;
"1243689259552452608,2832297681,2020-03-28T00:00:00Z,SmartFlightInfo,""American Airlines flight attendant dies of coronavirus, elevating fears in the industry. #COVID19 #crewhealth #airlines #airtransportindustry";;;;
"https://t.co/LGzgQzUVov"",TweetDeck,,,,FALSE,FALSE,2581,2,,,,2019,3538,,2014-10-15T17:59:04Z,FALSE,en";;;;
"1243689259514695681,555099241,2020-03-28T00:00:00Z,ImpactoTIC,""Un nuevo portátil ecológico lanzado por HP, el avance del #COVID19 en Colombia y la manera como empresas y gobiernos se unen para combatirlo forman parte de las #NoticiasTIC destacadas de la semana 👇 ";;;;
"https://t.co/SWyNzbl7ks"",TweetDeck,,,,FALSE,FALSE,5147,0,,,,15881,1123,,2012-04-16T12:46:32Z,FALSE,es";;;;
